    magn_field       energy        delta    atten    intensity
0         0.50  14880.04900  1.53740e-06  0.02089  1.60766e+15
1         0.51  14700.12101  1.57526e-06  0.02054  1.79390e+15
2         0.52  14522.19222  1.61404e-06  0.02019  1.93534e+15
3         0.53  14342.26423  1.65647e-06  0.01981  2.21012e+15
4         0.54  14166.33463  1.69726e-06  0.01946  2.36241e+15
5         0.55  13988.40584  1.74188e-06  0.01907  2.68156e+15
6         0.56  13814.47545  1.78478e-06  0.01871  2.88743e+15
7         0.57  13640.54505  1.83170e-06  0.01833  3.16155e+15
8         0.58  13468.61386  1.87680e-06  0.01794  3.39094e+15
9         0.59  13296.68267  1.92614e-06  0.01757  3.75200e+15
10        0.60  13126.75068  1.97678e-06  0.01718  4.06445e+15
11        0.61  12958.81788  2.02875e-06  0.01679  4.37257e+15
12        0.62  12792.88429  2.08208e-06  0.01640  4.66856e+15
13        0.63  12628.94989  2.13682e-06  0.01601  4.88492e+15
14        0.64  12465.01550  2.19300e-06  0.01562  5.32185e+15
15        0.65  12303.08031  2.25065e-06  0.01523  5.69340e+15
16        0.66  12145.14351  2.30983e-06  0.01485  5.74590e+15
17        0.67  11985.20752  2.37055e-06  0.01445  6.39848e+15
18        0.68  11829.26993  2.43288e-06  0.01407  6.74949e+15
19        0.69  11675.33153  2.50090e-06  0.01370  7.06465e+15
20        0.70  11523.39234  2.56665e-06  0.01333  7.28098e+15
21        0.71  11371.45315  2.63414e-06  0.01294  7.84518e+15
22        0.72  11223.51235  2.70340e-06  0.01258  8.04444e+15
23        0.73  11075.57156  2.77899e-06  0.01222  8.57260e+15
24        0.74  10931.62916  2.85206e-06  0.01185  8.59660e+15
25        0.75  10787.68677  2.92705e-06  0.01151  9.16395e+15
26        0.76  10645.74357  3.00401e-06  0.01116  9.63248e+15
27        0.77  10505.79958  3.08801e-06  0.01081  1.00368e+16
28        0.78  10367.85479  3.16921e-06  0.01048  1.04072e+16
29        0.79  10231.90919  3.25254e-06  0.01016  1.07633e+16
30        0.80  10097.96280  3.34350e-06  0.00982  1.11070e+16
31        0.81   9966.01560  3.43438e-06  0.00950  1.14128e+16
32        0.82   9836.06761  3.52102e-06  0.00921  1.16159e+16
33        0.83   9708.11881  3.61985e-06  0.00890  1.15999e+16
34        0.84   9580.17002  3.71118e-06  0.00862  1.24399e+16
35        0.85   9456.21962  3.81536e-06  0.00832  1.23630e+16
36        0.86   9332.26923  3.91162e-06  0.00806  1.30387e+16
37        0.87   9212.31723  4.01031e-06  0.00777  1.24348e+16
38        0.88   9092.36524  4.12289e-06  0.00752  1.30435e+16
39        0.89   8974.41244  4.22691e-06  0.00725  1.34072e+16
40        0.90   8858.45885  4.34558e-06  0.00701  1.35283e+16
41        0.91   8744.50445  4.45522e-06  0.00677  1.32844e+16
42        0.92   8630.55006  4.58030e-06  0.00652  1.46434e+16
43        0.93   8520.59406  4.69588e-06  0.00630  1.39963e+16
44        0.94   8410.63806  4.81437e-06  0.00606  1.48511e+16
45        0.95   8302.68127  4.94954e-06  0.00586  1.52693e+16
46        0.96   8196.72367  5.07444e-06  0.00566  1.54118e+16
47        0.97   8092.76528  5.20250e-06  0.00546  1.51280e+16
48        0.98   7988.80688  5.34858e-06  0.00525  1.61223e+16
49        0.99   7888.84688  5.48356e-06  0.00507  1.51290e+16
50        1.00   7788.88689  5.62195e-06  0.00489  1.55721e+16
